date,Internal_Client_ID,product_id,product_name,brand_name,total_orders,total_mrp_revenue,total_final_revenue,total_net_revenue,stock_at_darkstores,stock_at_warehouses,ad_spend,ad_impressions,ad_clicks,ad_add_to_carts,ad_orders,ad_orders_othersku,ad_orders_samesku,ad_revenue,bundle_id,product_image,internal_product_id,internal_product_name,product_type,category,subcategory_name,maximum_retail_price,discounted_selling_price,fullsize_darkstores,cutsize_darkstores,OOS_darkstores,inactive_darkstores,total_darkstores,platform
2025-09-08,310mee980,445015,,,,,,,,,345.27,1000.0,,87.0,60.0,32.0,28.0,14782.34,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-03,310mee980,445015,,,,,,,,,491.93,1401.0,,124.0,82.0,44.0,38.0,18035.75,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-11,310mee980,445015,,,,,,,,,379.72999999999996,1053.0,,83.0,55.0,30.0,25.0,13298.42,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-18,310mee980,445015,,,,,,,,,524.49,1286.0,,100.0,64.0,37.0,27.0,14287.0,,,,,Others,Others,Others,,,,,,,,blinkit
2025-10-03,310mee980,445015,,,,,,,,,871.54000000000008,1389.0,,135.0,94.0,47.0,47.0,19177.75,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-29,310mee980,445015,,,,,,,,,987.03,1329.0,,113.0,70.0,34.0,36.0,15655.25,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-01,310mee980,445015,,,,,,,,,459.85999999999996,1740.0,,102.0,65.0,36.0,29.0,14203.67,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-12,310mee980,445015,,,,,,,,,511.76,1315.0,,101.0,66.0,34.0,32.0,14459.58,,,,,Others,Others,Others,,,,,,,,blinkit
2025-10-04,310mee980,445015,,,,,,,,,1060.73,1889.0,,134.0,87.0,44.0,43.0,17292.25,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-05,310mee980,445015,,,,,,,,,435.04,1285.0,,95.0,64.0,29.0,35.0,14184.67,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-23,310mee980,445015,,,,,,,,,1176.0,2172.0,,168.0,115.0,69.0,46.0,23973.26,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-25,310mee980,445015,,,,,,,,,878.02,1329.0,,120.0,78.0,39.0,39.0,16140.58,,,,,Others,Others,Others,,,,,,,,blinkit
2025-10-01,310mee980,445015,,,,,,,,,941.56999999999994,1539.0,,124.0,80.0,43.0,37.0,17062.08,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-13,310mee980,445015,,,,,,,,,531.98,1317.0,,113.0,76.0,39.0,37.0,16648.34,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-16,310mee980,445015,,,,,,,,,496.84,1268.0,,112.0,69.0,41.0,28.0,15328.0,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-21,310mee980,445015,,,,,,,,,1055.6,2051.0,,143.0,89.0,46.0,43.0,19241.84,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-17,310mee980,445015,,,,,,,,,536.76,1326.0,,105.0,68.0,35.0,33.0,14732.42,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-02,310mee980,445015,,,,,,,,,476.30999999999995,1659.0,,117.0,81.0,50.0,31.0,18020.5,,,,,Others,Others,Others,,,,,,,,blinkit
2025-10-02,310mee980,445015,,,,,,,,,923.1099999999999,1492.0,,131.0,82.0,39.0,43.0,16365.42,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-30,310mee980,445015,,,,,,,,,1032.69,1484.0,,122.0,82.0,44.0,38.0,18050.25,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-06,310mee980,445015,,,,,,,,,399.21000000000004,1103.0,,107.0,72.0,34.0,38.0,15349.5,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-07,310mee980,445015,,,,,,,,,404.12,1204.0,,114.0,67.0,34.0,33.0,14518.25,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-22,310mee980,445015,,,,,,,,,1114.2,2133.0,,168.0,106.0,58.0,48.0,22230.08,,,,,Others,Others,Others,,,,,,,,blinkit
2025-09-10,310mee980,445015,,,,,,,,,310.58,929.0,,81.0,59.0,29.0,30.0,13897.09,,,,,Others,Others,Others,,,,,,,,blinkit
